v135,v2,v2602,v2600,v7,r135,r2,r2602,r2600,r7,base135,base2,base2602,base2600,base7,label
431,632,335,656,400,-85,106,-79,10,-36,486,563,366,713,344,cleanair
434,641,339,655,406,-82,115,-75,9,-30,486,563,366,713,344,cleanair
433,648,342,660,409,-83,122,-72,14,-27,486,563,366,713,344,cleanair
431,640,343,661,411,-85,114,-71,15,-25,486,563,366,713,344,cleanair
428,635,347,661,423,-88,109,-67,15,-13,486,563,366,713,344,cleanair
429,633,353,658,434,-87,107,-61,12,-2,486,563,366,713,344,cleanair
429,626,362,656,437,-87,100,-52,10,1,486,563,366,713,344,cleanair
422,627,357,652,438,-94,101,-57,6,2,486,563,366,713,344,cleanair
427,628,357,653,443,-89,102,-57,7,7,486,563,366,713,344,cleanair
428,632,357,657,445,-88,106,-57,11,9,486,563,366,713,344,cleanair
431,636,353,664,434,-85,110,-61,18,-2,486,563,366,713,344,cleanair
439,635,352,661,432,-77,109,-62,15,-4,486,563,366,713,344,cleanair
447,640,351,661,431,-69,114,-63,15,-5,486,563,366,713,344,cleanair
451,645,350,662,430,-65,119,-64,16,-6,486,563,366,713,344,cleanair
454,649,349,660,428,-62,123,-65,14,-8,486,563,366,713,344,cleanair
452,650,351,663,428,-64,124,-63,17,-8,486,563,366,713,344,cleanair
448,649,352,663,424,-68,123,-62,17,-12,486,563,366,713,344,cleanair
447,646,355,660,423,-69,120,-59,14,-13,486,563,366,713,344,cleanair
445,642,356,654,423,-71,116,-58,8,-13,486,563,366,713,344,cleanair
450,638,356,651,426,-66,112,-58,5,-10,486,563,366,713,344,cleanair
453,639,355,645,436,-63,113,-59,-1,0,486,563,366,713,344,cleanair
453,642,351,650,442,-63,116,-63,4,6,486,563,366,713,344,cleanair
452,634,349,657,445,-64,108,-65,11,9,486,563,366,713,344,cleanair
443,628,350,662,441,-73,102,-64,16,5,486,563,366,713,344,cleanair
433,620,348,664,437,-83,94,-66,18,1,486,563,366,713,344,cleanair
426,610,347,666,435,-90,84,-67,20,-1,486,563,366,713,344,cleanair
420,611,345,669,435,-96,85,-69,23,-1,486,563,366,713,344,cleanair
424,611,349,670,438,-92,85,-65,24,2,486,563,366,713,344,cleanair
423,617,350,670,441,-93,91,-64,24,5,486,563,366,713,344,cleanair
426,618,351,666,436,-90,92,-63,20,0,486,563,366,713,344,cleanair
426,620,351,658,431,-90,94,-63,12,-5,486,563,366,713,344,cleanair
425,621,352,655,422,-91,95,-62,9,-14,486,563,366,713,344,cleanair
413,633,351,638,433,-103,107,-63,-8,-3,486,563,366,713,344,cleanair
393,653,339,634,442,-123,127,-75,-12,6,486,563,366,713,344,cleanair
379,654,347,617,464,-137,128,-67,-29,28,486,563,366,713,344,cleanair
318,707,322,615,497,-198,181,-92,-31,61,486,563,366,713,344,cleanair
333,704,310,625,473,-183,178,-104,-21,37,486,563,366,713,344,cleanair
325,700,322,602,495,-191,174,-92,-44,59,486,563,366,713,344,cleanair
340,713,301,627,467,-176,187,-113,-19,31,486,563,366,713,344,cleanair
386,686,319,624,458,-130,160,-95,-22,22,486,563,366,713,344,cleanair
419,670,327,630,448,-97,144,-87,-16,12,486,563,366,713,344,cleanair
437,652,343,632,449,-79,126,-71,-14,13,486,563,366,713,344,cleanair
439,640,344,638,451,-77,114,-70,-8,15,486,563,366,713,344,cleanair
437,628,344,647,448,-79,102,-70,1,12,486,563,366,713,344,cleanair
431,621,342,653,442,-85,95,-72,7,6,486,563,366,713,344,cleanair
427,616,340,660,436,-89,90,-74,14,0,486,563,366,713,344,cleanair
423,614,339,665,431,-93,88,-75,19,-5,486,563,366,713,344,cleanair
425,611,340,669,429,-91,85,-74,23,-7,486,563,366,713,344,cleanair
429,611,342,670,430,-87,85,-72,24,-6,486,563,366,713,344,cleanair
433,613,345,672,434,-83,87,-69,26,-2,486,563,366,713,344,cleanair
430,613,349,672,439,-86,87,-65,26,3,486,563,366,713,344,cleanair
429,617,342,669,438,-87,91,-72,23,2,486,563,366,713,344,cleanair
434,622,343,667,436,-82,96,-71,21,0,486,563,366,713,344,cleanair
437,630,343,665,436,-79,104,-71,19,0,486,563,366,713,344,cleanair
436,631,344,664,429,-80,105,-70,18,-7,486,563,366,713,344,cleanair
436,628,345,656,429,-80,102,-69,10,-7,486,563,366,713,344,cleanair
438,633,347,659,429,-78,107,-67,13,-7,486,563,366,713,344,cleanair
440,638,349,661,427,-76,112,-65,15,-9,486,563,366,713,344,cleanair
437,639,350,660,423,-79,113,-64,14,-13,486,563,366,713,344,cleanair
436,640,346,663,420,29,-97,68,-57,49,486,563,366,713,344,cleanair
438,645,345,663,419,31,-92,67,-57,48,486,563,366,713,344,cleanair
438,649,345,663,417,31,-88,67,-57,46,486,563,366,713,344,cleanair
439,646,343,661,419,32,-91,65,-59,48,486,563,366,713,344,cleanair
445,646,341,659,422,38,-91,63,-61,51,486,563,366,713,344,cleanair
455,649,343,654,433,48,-88,65,-66,62,486,563,366,713,344,cleanair
460,650,342,663,436,53,-87,64,-57,65,486,563,366,713,344,cleanair
462,641,348,664,441,55,-96,70,-56,70,486,563,366,713,344,cleanair
452,634,351,671,443,45,-103,73,-49,72,486,563,366,713,344,cleanair
442,625,357,675,437,35,-112,79,-45,66,486,563,366,713,344,cleanair
425,621,360,676,431,18,-116,82,-44,60,486,563,366,713,344,cleanair
416,621,363,673,423,9,-116,85,-47,52,486,563,366,713,344,cleanair
415,625,365,666,419,8,-112,87,-54,48,486,563,366,713,344,cleanair
415,641,360,664,417,8,-96,82,-56,46,486,563,366,713,344,cleanair
431,644,362,666,416,24,-93,84,-54,45,486,563,366,713,344,cleanair
437,653,360,662,426,30,-84,82,-58,55,486,563,366,713,344,cleanair
450,656,353,667,429,43,-81,75,-53,58,486,563,366,713,344,cleanair
460,646,354,664,444,53,-91,76,-56,73,486,563,366,713,344,cleanair
